ID	Condition	sentence	noun_transparency	noun	Trial_Index_	RT	Accuracy
A16	D25_C4	Comenta que su sill—n blanco demanda mucho cuidado.	opaq	sill—n	4	3722	0
A16	D21_C4	Demuestra que su malet’n caro resiste la lluvia.	opaq	malet’n	5	2903	1
A16	D14_C3	Se–ala que la lecci—n perfecta requiere preparaci—n.	opaq	lecci—n	6	3412	1
A16	D29_C4	Cuenta que su lugar famoso representa su vida.	opaq	lugar	7	2557	0
A16	D04_C1	Comenta que la silla rosada mejora la sala.	transp	silla	8	1725	1
A16	D10_C3	Menciona que la nariz dorada causa sorpresa.	opaq	nariz	9	2978	1
A16	D26_C3	Piensa que la religi—n estricta molesta al joven.	opaq	religi—n	10	4693	0
A16	D22_C3	Dice que la naci—n limpia recibe m‡s turistas.	opaq	naci—n	11	3354	1
A16	D18_C3	Manifiesta que la mansi—n preciosa sorprende al hombre.	opaq	mansi—n	12	3308	1
A16	D11_C2	Indica que su mercado peque–o contrata a estudiantes.	transp	mercado	13	3401	1
A16	D30_C3	Declara que la tradici—n rara confunde al rey.	opaq	tradici—n	14	2788	1
A16	D07_C2	Descubre que su teclado bueno vale menos dinero.	transp	teclado	15	2902	1
A16	D13_C4	Opina que su collar negro cautiva al cliente.	opaq	collar	16	2681	0
A16	D08_C1	Cuenta que la planta bonita gana el concurso.	transp	planta	17	2937	1
A16	D24_C1	Cree que la cena mala decepciona al padre.	transp	cena	18	2625	1
A16	D23_C2	Avisa de que su templo sagrado tiene poderes m‡gicos.	transp	templo	19	3210	1
A16	D05_C4	Anuncia que su cristal roto crea m‡s basura.	opaq	cristal	20	2790	0
A16	D12_C1	Aclara que la palabra secreta resuelve el misterio.	transp	palabra	21	1601	1
A16	D28_C1	Opina que la novela tr‡gica divide al pueblo.	transp	novela	22	2987	1
A16	D27_C2	Anuncia que su vaso sucio disgusta al invitado.	transp	vaso	23	3166	1
A16	D19_C2	Descubre que su sombrero barato soporta la lluvia.	transp	sombrero	24	2026	1
A16	D09_C4	Declara que su cami—n antiguo contamina el ambiente.	opaq	cami—n	25	5935	0
A16	D32_C1	Indica que la revista c—mica divierte a todos.	transp	revista	26	3590	1
A16	D02_C3	Avisa de que la conexi—n moderna repara el sistema.	opaq	conexi—n	27	3006	1
A16	D03_C2	Cree que su plato t’pico lleva demasiados ingredientes.	transp	plato	28	1501	1
A16	D17_C4	Sugiere que su pantal—n rojo llama la atenci—n.	opaq	pantal—n	29	1758	0
A16	D31_C2	Menciona que su bolso morado lidera las ventas.	transp	bolso	30	2988	1
A16	D15_C2	Explica que su tama–o mediano resulta m‡s pr‡ctico.	transp	tama–o	31	2934	1
A16	D01_C4	Dice que su proyector nuevo cuesta mucho dinero.	opaq	proyector	32	1747	0
A16	D06_C3	Piensa que la crisis larga produce insomnio.	opaq	crisis	33	1639	1
A19	PD_C4	Dice que la mochila rallada contiene nuestras cosas	transp	mochila	1	7703	1
A19	D13_C3	Opina que el collar negro cautiva al cliente.	opaq	collar	2	1670	1
A19	D31_C1	Menciona que el bolso morado lidera las ventas.	transp	bolso	3	2141	1
A19	D28_C4	Opina que su situaci—n tr‡gica divide al pueblo.	opaq	situaci—n	4	2959	1
A19	D29_C3	Cuenta que el lugar famoso representa su vida.	opaq	lugar	5	1887	0
A19	D07_C1	Descubre que el teclado bueno vale menos dinero.	transp	teclado	6	3625	0
A19	D20_C4	Sostiene que su estaci—n oscura necesita m‡s luz.	opaq	estaci—n	7	3389	1
A19	D24_C4	Cree que su acci—n mala decepciona al padre.	opaq	acci—n	8	2803	1
A19	D19_C1	Descubre que el sombrero barato soporta la lluvia.	transp	sombrero	9	2922	1
A19	D21_C3	Demuestra que el malet’n caro resiste la lluvia.	opaq	malet’n	10	2914	1
A19	D05_C3	Anuncia que el cristal roto crea m‡s basura.	opaq	cristal	11	2561	1
A19	D11_C1	Indica que el mercado peque–o contrata a estudiantes.	transp	mercado	12	3581	1
A19	D16_C4	Aclara que su opini—n pœblica trae problemas.	opaq	opini—n	13	2808	1
A19	D12_C4	Aclara que su imagen secreta resuelve el misterio.	opaq	imagen	14	2889	1
A19	D01_C3	Dice que el proyector nuevo cuesta mucho dinero.	opaq	proyector	15	2769	1
A19	D18_C2	Manifiesta que su piedra preciosa sorprende al hombre.	transp	piedra	16	2928	1
A19	D25_C3	Comenta que el sill—n blanco demanda mucho cuidado.	opaq	sill—n	17	3149	1
A19	D04_C4	Comenta que su pared rosada mejora la sala.	opaq	pared	18	2735	1
A19	D14_C2	Se–ala que su fiesta perfecta requiere preparaci—n.	transp	fiesta	19	3467	1
A19	D26_C2	Piensa que su iglesia estricta molesta al joven.	transp	iglesia	20	2968	1
A19	D23_C1	Avisa de que el templo sagrado tiene poderes m‡gicos.	transp	templo	21	4814	1
A19	D27_C1	Anuncia que el vaso sucio disgusta al invitado.	transp	vaso	22	2845	1
A19	D30_C2	Declara que su l‡mpara rara confunde al rey.	transp	l‡mpara	23	2359	1
A19	D32_C4	Indica que su reuni—n c—mica divierte a todos.	opaq	reuni—n	24	2442	1
A19	D03_C1	Cree que el plato t’pico lleva demasiados ingredientes.	transp	plato	25	3131	1
A19	D06_C2	Piensa que su charla larga produce insomnio.	transp	charla	26	2299	1
A19	D08_C4	Cuenta que su canci—n bonita gana el concurso.	opaq	canci—n	27	3162	1
A19	D02_C2	Avisa de que su m‡quina moderna repara el sistema.	transp	m‡quina	28	2826	1
A19	D17_C3	Sugiere que el pantal—n rojo llama la atenci—n.	opaq	pantal—n	29	2708	1
A19	D10_C2	Menciona que su falda dorada causa sorpresa.	transp	falda	30	3035	1
A19	D15_C1	Explica que el tama–o mediano resulta m‡s pr‡ctico.	transp	tama–o	31	2874	1
A19	D22_C2	Dice que su sala limpia recibe m‡s turistas.	transp	sala	32	3341	1
A19	D09_C3	Declara que el cami—n antiguo contamina el ambiente.	opaq	cami—n	33	3329	1
A24	PD_C4	Dice que la mochila rallada contiene nuestras cosas	transp	mochila	1	14994	1
A24	D16_C1	Aclara que la escuela pœblica trae problemas.	transp	escuela	2	2867	1
A24	D31_C2	Menciona que su bolso morado lidera las ventas.	transp	bolso	3	2930	1
A24	D05_C4	Anuncia que su cristal roto crea m‡s basura.	opaq	cristal	4	2642	0
A24	D24_C1	Cree que la cena mala decepciona al padre.	transp	cena	5	2473	1
A24	D09_C4	Declara que su cami—n antiguo contamina el ambiente.	opaq	cami—n	6	3556	0
A24	D10_C3	Menciona que la nariz dorada causa sorpresa.	opaq	nariz	7	2702	1
A24	D04_C1	Comenta que la silla rosada mejora la sala.	transp	silla	8	2628	1
A24	D27_C2	Anuncia que su vaso sucio disgusta al invitado.	transp	vaso	9	3391	1
A24	D14_C3	Se–ala que la lecci—n perfecta requiere preparaci—n.	opaq	lecci—n	10	2794	1
A24	D23_C2	Avisa de que su templo sagrado tiene poderes m‡gicos.	transp	templo	11	2911	1
A24	D19_C2	Descubre que su sombrero barato soporta la lluvia.	transp	sombrero	12	3474	1
A24	D25_C4	Comenta que su sill—n blanco demanda mucho cuidado.	opaq	sill—n	13	2980	0
A24	D15_C2	Explica que su tama–o mediano resulta m‡s pr‡ctico.	transp	tama–o	14	2777	0
A24	D06_C3	Piensa que la crisis larga produce insomnio.	opaq	crisis	15	4192	1
A24	D26_C3	Piensa que la religi—n estricta molesta al joven.	opaq	religi—n	16	3393	1
A24	D01_C4	Dice que su proyector nuevo cuesta mucho dinero.	opaq	proyector	17	3756	0
A24	D29_C4	Cuenta que su lugar famoso representa su vida.	opaq	lugar	18	2469	1
A24	D07_C2	Descubre que su teclado bueno vale menos dinero.	transp	teclado	19	2811	1
A24	D13_C4	Opina que su collar negro cautiva al cliente.	opaq	collar	20	4366	0
A24	D20_C1	Sostiene que la taberna oscura necesita m‡s luz.	transp	taberna	21	4897	1
A24	D12_C1	Aclara que la palabra secreta resuelve el misterio.	transp	palabra	22	3281	1
A24	D28_C1	Opina que la novela tr‡gica divide al pueblo.	transp	novela	23	5621	1
A24	D22_C3	Dice que la naci—n limpia recibe m‡s turistas.	opaq	naci—n	24	3291	1
A24	D30_C3	Declara que la tradici—n rara confunde al rey.	opaq	tradici—n	25	3303	1
A24	D11_C2	Indica que su mercado peque–o contrata a estudiantes.	transp	mercado	26	2846	1
A24	D03_C2	Cree que su plato t’pico lleva demasiados ingredientes.	transp	plato	27	3541	1
A24	D32_C1	Indica que la revista c—mica divierte a todos.	transp	revista	28	2528	1
A24	D17_C4	Sugiere que su pantal—n rojo llama la atenci—n.	opaq	pantal—n	29	2736	0
A24	D21_C4	Demuestra que su malet’n caro resiste la lluvia.	opaq	malet’n	30	2893	0
A24	D02_C3	Avisa de que la conexi—n moderna repara el sistema.	opaq	conexi—n	31	2795	1
A24	D18_C3	Manifiesta que la mansi—n preciosa sorprende al hombre.	opaq	mansi—n	32	3739	1
A24	D08_C1	Cuenta que la planta bonita gana el concurso.	transp	planta	33	2811	1
A27	PD_C4	Dice que la mochila rallada contiene nuestras cosas	transp	mochila	1	5958	0
A27	D24_C4	Cree que su acci—n mala decepciona al padre.	opaq	acci—n	2	2545	1
A27	D02_C2	Avisa de que su m‡quina moderna repara el sistema.	transp	m‡quina	3	2800	1
A27	D22_C2	Dice que su sala limpia recibe m‡s turistas.	transp	sala	4	3037	1
A27	D15_C1	Explica que el tama–o mediano resulta m‡s pr‡ctico.	transp	tama–o	5	2780	1
A27	D20_C4	Sostiene que su estaci—n oscura necesita m‡s luz.	opaq	estaci—n	6	2910	0
A27	D10_C2	Menciona que su falda dorada causa sorpresa.	transp	falda	7	2791	1
A27	D28_C4	Opina que su situaci—n tr‡gica divide al pueblo.	opaq	situaci—n	8	2992	1
A27	D27_C1	Anuncia que el vaso sucio disgusta al invitado.	transp	vaso	9	3041	1
A27	D17_C3	Sugiere que el pantal—n rojo llama la atenci—n.	opaq	pantal—n	10	2712	1
A27	D19_C1	Descubre que el sombrero barato soporta la lluvia.	transp	sombrero	11	2896	1
A27	D26_C2	Piensa que su iglesia estricta molesta al joven.	transp	iglesia	12	2844	0
A27	D08_C4	Cuenta que su canci—n bonita gana el concurso.	opaq	canci—n	13	3009	1
A27	D11_C1	Indica que el mercado peque–o contrata a estudiantes.	transp	mercado	14	3232	1
A27	D09_C3	Declara que el cami—n antiguo contamina el ambiente.	opaq	cami—n	15	3326	1
A27	D32_C4	Indica que su reuni—n c—mica divierte a todos.	opaq	reuni—n	16	2972	1
A27	D03_C1	Cree que el plato t’pico lleva demasiados ingredientes.	transp	plato	17	3379	1
A27	D14_C2	Se–ala que su fiesta perfecta requiere preparaci—n.	transp	fiesta	18	3541	1
A27	D12_C4	Aclara que su imagen secreta resuelve el misterio.	opaq	imagen	19	3154	1
A27	D25_C3	Comenta que el sill—n blanco demanda mucho cuidado.	opaq	sill—n	20	3555	1
A27	D13_C3	Opina que el collar negro cautiva al cliente.	opaq	collar	21	2947	1
A27	D21_C3	Demuestra que el malet’n caro resiste la lluvia.	opaq	malet’n	22	2927	1
A27	D29_C3	Cuenta que el lugar famoso representa su vida.	opaq	lugar	23	2761	1
A27	D16_C4	Aclara que su opini—n pœblica trae problemas.	opaq	opini—n	24	2852	1
A27	D18_C2	Manifiesta que su piedra preciosa sorprende al hombre.	transp	piedra	25	3229	1
A27	D05_C3	Anuncia que el cristal roto crea m‡s basura.	opaq	cristal	26	3178	1
A27	D04_C4	Comenta que su pared rosada mejora la sala.	opaq	pared	27	2700	1
A27	D23_C1	Avisa de que el templo sagrado tiene poderes m‡gicos.	transp	templo	28	3320	1
A27	D30_C2	Declara que su l‡mpara rara confunde al rey.	transp	l‡mpara	29	2770	1
A27	D01_C3	Dice que el proyector nuevo cuesta mucho dinero.	opaq	proyector	30	3027	1
A27	D07_C1	Descubre que el teclado bueno vale menos dinero.	transp	teclado	31	2902	1
A27	D06_C2	Piensa que su charla larga produce insomnio.	transp	charla	32	2947	1
A27	D31_C1	Menciona que el bolso morado lidera las ventas.	transp	bolso	33	2870	1
A29	PD_C4	Dice que la mochila rallada contiene nuestras cosas	transp	mochila	1	5498	1
A29	D05_C1	Anuncia que el palo roto crea m‡s basura.	transp	palo	2	2512	1
A29	D11_C3	Indica que el hospital peque–o contrata a estudiantes.	opaq	hospital	3	2948	1
A29	D13_C1	Opina que el cuero negro cautiva al cliente.	transp	cuero	4	2507	1
A29	D29_C1	Cuenta que el cuadro famoso representa su vida.	transp	cuadro	5	2427	1
A29	D26_C4	Piensa que su religi—n estricta molesta al joven.	opaq	religi—n	6	2470	0
A29	D20_C2	Sostiene que su taberna oscura necesita m‡s luz.	transp	taberna	7	2219	1
A29	D07_C3	Descubre que el borrador bueno vale menos dinero.	opaq	borrador	8	1962	1
A29	D22_C4	Dice que su naci—n limpia recibe m‡s turistas.	opaq	naci—n	9	1854	0
A29	D14_C4	Se–ala que su lecci—n perfecta requiere preparaci—n.	opaq	lecci—n	10	3394	0
A29	D16_C2	Aclara que su escuela pœbica trae problemas.	transp	escuea	11	2767	1
A29	D10_C4	Menciona que su nariz dorada causa sorpresa.	opaq	nariz	12	3195	0
A29	D25_C1	Comenta que el suelo blanco demanda mucho cuidado.	transp	suelo	13	2819	1
A29	D23_C3	Avisa de que el metal sagrado tiene poderes m‡gicos.	opaq	metal	14	3564	1
A29	D21_C1	Demuestra que el zapato caro resiste la lluvia.	transp	zapato	15	2471	1
A29	D31_C3	Menciona que el ma’z morado lidera las ventas.	opaq	ma’z	16	2777	1
A29	D15_C3	Explica que el cintur—n mediano resulta m‡s pr‡ctico.	opaq	cintur—n	17	2227	1
A29	D08_C2	Cuenta que su planta bonita gana el concurso.	transp	planta	18	3172	1
A29	D03_C3	Cree que el pastel t’pico lleva demasiados ingredientes.	opaq	pastel	19	2990	1
A29	D06_C4	Piensa que su crisis larga produce insomnio.	opaq	crisis	20	2192	0
A29	D09_C1	Declara que el carro antiguo contamina el ambiente.	transp	carro	21	2752	0
A29	D32_C2	Indica que su revista c—mica divierte a todos.	transp	revista	22	2903	1
A29	D24_C2	Cree que su cena mala decepciona al padre.	transp	cena	23	1422	1
A29	D17_C1	Sugiere que el anillo rojo llama la atenci—n.	transp	anillo	24	2454	1
A29	D04_C2	Comenta que su silla rosada mejora la sala.	transp	silla	25	2524	1
A29	D27_C3	Anuncia que el jard’n sucio disgusta al invitado.	opaq	jard’n	26	3160	1
A29	D02_C4	Avisa de que su conexi—n moderna repara el sistema.	opaq	conexi—n	27	3041	0
A29	D12_C2	Aclara que su palabra secreta resuelve el misterio.	transp	palabra	28	3013	1
A29	D30_C4	Declara que su tradici—n rara confunde al rey.	opaq	tradici—n	29	3258	0
A29	D19_C3	Descubre que el paraguas barato soporta la lluvia.	opaq	paraguas	30	3481	0
A29	D01_C1	Dice que el colegio nuevo cuesta mucho dinero.	transp	colegio	31	2758	1
A29	D28_C2	Opina que su novela tr‡gica divide al pueblo.	transp	novela	32	3126	1
A29	D18_C4	Manifiesta que su mansi—n preciosa sorprende al hombre.	opaq	mansi—n	33	3294	0
A3	PD_C4	Dice que la mochila rallada contiene nuestras cosas	transp	mochila	1	6428	1
A3	D23_C1	Avisa de que el templo sagrado tiene poderes m‡gicos.	transp	templo	2	3931	1
A3	D21_C3	Demuestra que el malet’n caro resiste la lluvia.	opaq	malet’n	3	2172	1
A3	D17_C3	Sugiere que el pantal—n rojo llama la atenci—n.	opaq	pantal—n	4	1613	1
A3	D26_C2	Piensa que su iglesia estricta molesta al joven.	transp	iglesia	5	2036	1
A3	D02_C2	Avisa de que su m‡quina moderna repara el sistema.	transp	m‡quina	6	1729	1
A3	D11_C1	Indica que el mercado peque–o contrata a estudiantes.	transp	mercado	7	1663	1
A3	D15_C1	Explica que el tama–o mediano resulta m‡s pr‡ctico.	transp	tama–o	8	2141	1
A3	D01_C3	Dice que el proyector nuevo cuesta mucho dinero.	opaq	proyector	9	1794	1
A3	D03_C1	Cree que el plato t’pico lleva demasiados ingredientes.	transp	plato	10	1485	1
A3	D12_C4	Aclara que su imagen secreta resuelve el misterio.	opaq	imagen	11	2085	1
A3	D05_C3	Anuncia que el cristal roto crea m‡s basura.	opaq	cristal	12	1910	1
A3	D20_C4	Sostiene que su estaci—n oscura necesita m‡s luz.	opaq	estaci—n	13	2353	1
A3	D22_C2	Dice que su sala limpia recibe m‡s turistas.	transp	sala	14	1705	1
A3	D30_C2	Declara que su l‡mpara rara confunde al rey.	transp	l‡mpara	15	1769	1
A3	D31_C1	Menciona que el bolso morado lidera las ventas.	transp	bolso	16	1747	1
A3	D04_C4	Comenta que su pared rosada mejora la sala.	opaq	pared	17	1560	1
A3	D08_C4	Cuenta que su canci—n bonita gana el concurso.	opaq	canci—n	18	1685	1
A3	D09_C3	Declara que el cami—n antiguo contamina el ambiente.	opaq	cami—n	19	2529	1
A3	D13_C3	Opina que el collar negro cautiva al cliente.	opaq	collar	20	1615	1
A3	D06_C2	Piensa que su charla larga produce insomnio.	transp	charla	21	1455	1
A3	D28_C4	Opina que su situaci—n tr‡gica divide al pueblo.	opaq	situaci—n	22	2420	1
A3	D14_C2	Se–ala que su fiesta perfecta requiere preparaci—n.	transp	fiesta	23	1967	1
A3	D24_C4	Cree que su acci—n mala decepciona al padre.	opaq	acci—n	24	2604	1
A3	D32_C4	Indica que su reuni—n c—mica divierte a todos.	opaq	reuni—n	25	3064	1
A3	D16_C4	Aclara que su opini—n pœblica trae problemas.	opaq	opini—n	26	1731	1
A3	D27_C1	Anuncia que el vaso sucio disgusta al invitado.	transp	vaso	27	1868	1
A3	D29_C3	Cuenta que el lugar famoso representa su vida.	opaq	lugar	28	1855	0
A3	D18_C2	Manifiesta que su piedra preciosa sorprende al hombre.	transp	piedra	29	2299	1
A3	D19_C1	Descubre que el sombrero barato soporta la lluvia.	transp	sombrero	30	1538	1
A3	D07_C1	Descubre que el teclado bueno vale menos dinero.	transp	teclado	31	1876	1
A3	D10_C2	Menciona que su falda dorada causa sorpresa.	transp	falda	32	1933	1
A3	D25_C3	Comenta que el sill—n blanco demanda mucho cuidado.	opaq	sill—n	33	1430	1
A31	PD_C4	Dice que la mochila rallada contiene nuestras cosas	transp	mochila	1	6502	1
A31	D02_C2	Avisa de que su m‡quina moderna repara el sistema.	transp	m‡quina	2	2538	1
A31	D11_C1	Indica que el mercado peque–o contrata a estudiantes.	transp	mercado	3	3423	1
A31	D19_C1	Descubre que el sombrero barato soporta la lluvia.	transp	sombrero	4	2564	1
A31	D29_C3	Cuenta que el lugar famoso representa su vida.	opaq	lugar	5	2360	0
A31	D12_C4	Aclara que su imagen secreta resuelve el misterio.	opaq	imagen	6	2123	0
A31	D05_C3	Anuncia que el cristal roto crea m‡s basura.	opaq	cristal	7	2496	1
A31	D03_C1	Cree que el plato t’pico lleva demasiados ingredientes.	transp	plato	8	2584	1
A31	D08_C4	Cuenta que su canci—n bonita gana el concurso.	opaq	canci—n	9	3164	0
A31	D24_C4	Cree que su acci—n mala decepciona al padre.	opaq	acci—n	10	2813	0
A31	D04_C4	Comenta que su pared rosada mejora la sala.	opaq	pared	11	3155	0
A31	D07_C1	Descubre que el teclado bueno vale menos dinero.	transp	teclado	12	3584	1
A31	D25_C3	Comenta que el sill—n blanco demanda mucho cuidado.	opaq	sill—n	13	3918	1
A31	D01_C3	Dice que el proyector nuevo cuesta mucho dinero.	opaq	proyector	14	3341	1
A31	D23_C1	Avisa de que el templo sagrado tiene poderes m‡gicos.	transp	templo	15	3948	1
A31	D31_C1	Menciona que el bolso morado lidera las ventas.	transp	bolso	16	3723	1
A31	D06_C2	Piensa que su charla larga produce insomnio.	transp	charla	17	3302	1
A31	D10_C2	Menciona que su falda dorada causa sorpresa.	transp	falda	18	4251	1
A31	D20_C4	Sostiene que su estaci—n oscura necesita m‡s luz.	opaq	estaci—n	19	3514	0
A31	D30_C2	Declara que su l‡mpara rara confunde al rey.	transp	l‡mpara	20	3526	1
A31	D18_C2	Manifiesta que su piedra preciosa sorprende al hombre.	transp	piedra	21	4483	1
A31	D26_C2	Piensa que su iglesia estricta molesta al joven.	transp	iglesia	22	3271	1
A31	D09_C3	Declara que el cami—n antiguo contamina el ambiente.	opaq	cami—n	23	3586	1
A31	D27_C1	Anuncia que el vaso sucio disgusta al invitado.	transp	vaso	24	4610	1
A31	D14_C2	Se–ala que su fiesta perfecta requiere preparaci—n.	transp	fiesta	25	4019	1
A31	D22_C2	Dice que su sala limpia recibe m‡s turistas.	transp	sala	26	3113	1
A31	D28_C4	Opina que su situaci—n tr‡gica divide al pueblo.	opaq	situaci—n	27	3007	0
A31	D16_C4	Aclara que su opini—n pœblica trae problemas.	opaq	opini—n	28	3837	0
A31	D13_C3	Opina que el collar negro cautiva al cliente.	opaq	collar	29	3137	1
A31	D17_C3	Sugiere que el pantal—n rojo llama la atenci—n.	opaq	pantal—n	30	2885	1
A31	D15_C1	Explica que el tama–o mediano resulta m‡s pr‡ctico.	transp	tama–o	31	2666	1
A31	D32_C4	Indica que su reuni—n c—mica divierte a todos.	opaq	reuni—n	32	2773	1
A31	D21_C3	Demuestra que el malet’n caro resiste la lluvia.	opaq	malet’n	33	2760	1
A34	PD_C4	Dice que la mochila rallada contiene nuestras cosas	transp	mochila	1	5916	1
A34	D14_C1	Se–ala que la fiesta perfecta requiere preparaci—n.	transp	fiesta	2	3075	1
A34	D22_C1	Dice que la sala limpia recibe m‡s turistas.	transp	sala	3	1527	1
A34	D03_C4	Cree que su pastel t’pico lleva demasiados ingredientes.	opaq	pastel	4	3261	1
A34	D15_C4	Explica que su cintur—n mediano resulta m‡s pr‡ctico.	opaq	cintur—n	5	3051	1
A34	D08_C3	Cuenta que la canci—n bonita gana el concurso.	opaq	canci—n	6	3027	1
A34	D21_C2	Demuestra que su zapato caro resiste la lluvia.	transp	zapato	7	3231	1
A34	D19_C4	Descubre que su paraguas barato soporta la lluvia.	opaq	paraguas	8	2720	1
A34	D25_C2	Comenta que su suelo blanco demanda mucho cuidado.	transp	suelo	9	2790	1
A34	D13_C2	Opina que su cuero negro cautiva al cliente.	transp	cuero	10	2637	1
A34	D16_C3	Aclara que la opini—n pœblica trae problemas.	opaq	opini—n	11	2644	1
A34	D27_C4	Anuncia que su jard’n sucio disgusta al invitado.	opaq	jard’n	12	3166	1
A34	D05_C2	Anuncia que su palo roto crea m‡s basura.	transp	palo	13	2521	1
A34	D29_C2	Cuenta que su cuadro famoso representa su vida.	transp	cuadro	14	2616	0
A34	D09_C2	Declara que su carro antiguo contamina el ambiente.	transp	carro	15	2801	1
A34	D02_C1	Avisa de que la m‡quina moderna repara el sistema.	transp	m‡quina	16	2550	1
A34	D20_C3	Sostiene que la estaci—n oscura necesita m‡s luz.	opaq	estaci—n	17	2887	1
A34	D31_C4	Menciona que su ma’z morado lidera las ventas.	opaq	ma’z	18	2466	1
A34	D30_C1	Declara que la l‡mpara rara confunde al rey.	transp	l‡mpara	19	2402	1
A34	D26_C1	Piensa que la iglesia estricta molesta al joven.	transp	iglesia	20	2471	1
A34	D32_C3	Indica que la reuni—n c—mica divierte a todos.	opaq	reuni—n	21	2692	1
A34	D24_C3	Cree que la acci—n mala decepciona al padre.	opaq	acci—n	22	2542	1
A34	D18_C1	Manifiesta que la piedra preciosa sorprende al hombre.	transp	piedra	23	3010	1
A34	D17_C2	Sugiere que su anillo rojo llama la atenci—n.	transp	anillo	24	2725	1
A34	D23_C4	Avisa de que su metal sagrado tiene poderes m‡gicos.	opaq	metal	25	3066	1
A34	D28_C3	Opina que la situaci—n tr‡gica divide al pueblo.	opaq	situaci—n	26	3046	1
A34	D04_C3	Comenta que la pared rosada mejora la sala.	opaq	pared	27	2414	1
A34	D12_C3	Aclara que la imagen secreta resuelve el misterio.	opaq	imagen	28	2638	1
A34	D07_C4	Descubre que su borrador bueno vale menos dinero.	opaq	borrador	29	2711	1
A34	D10_C1	Menciona que la falda dorada causa sorpresa.	transp	falda	30	2451	1
A34	D11_C4	Indica que su hospital peque–o contrata a estudiantes.	opaq	hospital	31	3367	1
A34	D01_C2	Dice que su colegio nuevo cuesta mucho dinero.	transp	colegio	32	2853	1
A34	D06_C1	Piensa que la charla larga produce insomnio.	transp	charla	33	2337	1
A4	PD_C4	Dice que la mochila rallada contiene nuestras cosas	transp	mochila	1	10873	1
A4	D07_C2	Descubre que su teclado bueno vale menos dinero.	transp	teclado	2	3135	1
A4	D05_C4	Anuncia que su cristal roto crea m‡s basura.	opaq	cristal	3	2939	1
