"","Session","ID","Condition","sentence","noun_transparency","noun","Item","RT","Accuracy"
"29","A","13","C2","Indica que su revista cómica divierte a todos.","transp","revista",29,4225,1
"30","A","13","C2","Cree que su cena mala decepciona al padre.","transp","cena",30,3854,1
"31","A","13","C2","Comenta que su silla rosada mejora la sala.","transp","silla",31,5149,1
"32","A","13","C3","Anuncia que el jardín sucio disgusta al invitado.","opaq","jardín",32,5132,1
"33","A","13","C1","Anuncia que el palo roto crea más basura.","transp","palo",33,3164,1
"34","A","16","C4","Dice que la mochila rallada contiene nuestras cosas","transp","mochila",1,14054,1
"35","A","16","C1","Sostiene que la taberna oscura necesita más luz.","transp","taberna",2,3902,0
"36","A","16","C1","Aclara que la escuela pública trae problemas.","transp","escuela",3,2854,1
"37","A","16","C4","Comenta que su sillón blanco demanda mucho cuidado.","opaq","sillón",4,3722,0
"38","A","16","C4","Demuestra que su maletín caro resiste la lluvia.","opaq","maletín",5,2903,1
"39","A","16","C3","Señala que la lección perfecta requiere preparación.","opaq","lección",6,3412,1
"40","A","16","C4","Cuenta que su lugar famoso representa su vida.","opaq","lugar",7,2557,0
"41","A","16","C1","Comenta que la silla rosada mejora la sala.","transp","silla",8,1725,1
"42","A","16","C3","Menciona que la nariz dorada causa sorpresa.","opaq","nariz",9,2978,1
"43","A","16","C3","Piensa que la religión estricta molesta al joven.","opaq","religión",10,4693,0
"44","A","16","C3","Dice que la nación limpia recibe más turistas.","opaq","nación",11,3354,1
"45","A","16","C3","Manifiesta que la mansión preciosa sorprende al hombre.","opaq","mansión",12,3308,1
"46","A","16","C2","Indica que su mercado pequeño contrata a estudiantes.","transp","mercado",13,3401,1
"47","A","16","C3","Declara que la tradición rara confunde al rey.","opaq","tradición",14,2788,1
"48","A","16","C2","Descubre que su teclado bueno vale menos dinero.","transp","teclado",15,2902,1
"49","A","16","C4","Opina que su collar negro cautiva al cliente.","opaq","collar",16,2681,0
"50","A","16","C1","Cuenta que la planta bonita gana el concurso.","transp","planta",17,2937,1
"51","A","16","C1","Cree que la cena mala decepciona al padre.","transp","cena",18,2625,1
"52","A","16","C2","Avisa de que su templo sagrado tiene poderes mágicos.","transp","templo",19,3210,1
"53","A","16","C4","Anuncia que su cristal roto crea más basura.","opaq","cristal",20,2790,0
"54","A","16","C1","Aclara que la palabra secreta resuelve el misterio.","transp","palabra",21,1601,1
"55","A","16","C1","Opina que la novela trágica divide al pueblo.","transp","novela",22,2987,1
"56","A","16","C2","Anuncia que su vaso sucio disgusta al invitado.","transp","vaso",23,3166,1
"57","A","16","C2","Descubre que su sombrero barato soporta la lluvia.","transp","sombrero",24,2026,1
"58","A","16","C4","Declara que su camión antiguo contamina el ambiente.","opaq","camión",25,5935,0
"59","A","16","C1","Indica que la revista cómica divierte a todos.","transp","revista",26,3590,1
"60","A","16","C3","Avisa de que la conexión moderna repara el sistema.","opaq","conexión",27,3006,1
"61","A","16","C2","Cree que su plato típico lleva demasiados ingredientes.","transp","plato",28,1501,1
"62","A","16","C4","Sugiere que su pantalón rojo llama la atención.","opaq","pantalón",29,1758,0
"63","A","16","C2","Menciona que su bolso morado lidera las ventas.","transp","bolso",30,2988,1
"64","A","16","C2","Explica que su tamaño mediano resulta más práctico.","transp","tamaño",31,2934,1
"65","A","16","C4","Dice que su proyector nuevo cuesta mucho dinero.","opaq","proyector",32,1747,0
"66","A","16","C3","Piensa que la crisis larga produce insomnio.","opaq","crisis",33,1639,1
"67","A","19","C4","Dice que la mochila rallada contiene nuestras cosas","transp","mochila",1,7703,1
"68","A","19","C3","Opina que el collar negro cautiva al cliente.","opaq","collar",2,1670,1
"69","A","19","C1","Menciona que el bolso morado lidera las ventas.","transp","bolso",3,2141,1
"70","A","19","C4","Opina que su situación trágica divide al pueblo.","opaq","situación",4,2959,1
"71","A","19","C3","Cuenta que el lugar famoso representa su vida.","opaq","lugar",5,1887,0
"72","A","19","C1","Descubre que el teclado bueno vale menos dinero.","transp","teclado",6,3625,0
"73","A","19","C4","Sostiene que su estación oscura necesita más luz.","opaq","estación",7,3389,1
"74","A","19","C4","Cree que su acción mala decepciona al padre.","opaq","acción",8,2803,1
"75","A","19","C1","Descubre que el sombrero barato soporta la lluvia.","transp","sombrero",9,2922,1
"76","A","19","C3","Demuestra que el maletín caro resiste la lluvia.","opaq","maletín",10,2914,1
"77","A","19","C3","Anuncia que el cristal roto crea más basura.","opaq","cristal",11,2561,1
"78","A","19","C1","Indica que el mercado pequeño contrata a estudiantes.","transp","mercado",12,3581,1
"79","A","19","C4","Aclara que su opinión pública trae problemas.","opaq","opinión",13,2808,1
"80","A","19","C4","Aclara que su imagen secreta resuelve el misterio.","opaq","imagen",14,2889,1
"81","A","19","C3","Dice que el proyector nuevo cuesta mucho dinero.","opaq","proyector",15,2769,1
"82","A","19","C2","Manifiesta que su piedra preciosa sorprende al hombre.","transp","piedra",16,2928,1
"83","A","19","C3","Comenta que el sillón blanco demanda mucho cuidado.","opaq","sillón",17,3149,1
"84","A","19","C4","Comenta que su pared rosada mejora la sala.","opaq","pared",18,2735,1
"85","A","19","C2","Señala que su fiesta perfecta requiere preparación.","transp","fiesta",19,3467,1
"86","A","19","C2","Piensa que su iglesia estricta molesta al joven.","transp","iglesia",20,2968,1
"87","A","19","C1","Avisa de que el templo sagrado tiene poderes mágicos.","transp","templo",21,4814,1
"88","A","19","C1","Anuncia que el vaso sucio disgusta al invitado.","transp","vaso",22,2845,1
"89","A","19","C2","Declara que su lámpara rara confunde al rey.","transp","lámpara",23,2359,1
"90","A","19","C4","Indica que su reunión cómica divierte a todos.","opaq","reunión",24,2442,1
"91","A","19","C1","Cree que el plato típico lleva demasiados ingredientes.","transp","plato",25,3131,1
"92","A","19","C2","Piensa que su charla larga produce insomnio.","transp","charla",26,2299,1
"93","A","19","C4","Cuenta que su canción bonita gana el concurso.","opaq","canción",27,3162,1
"94","A","19","C2","Avisa de que su máquina moderna repara el sistema.","transp","máquina",28,2826,1
"95","A","19","C3","Sugiere que el pantalón rojo llama la atención.","opaq","pantalón",29,2708,1
"96","A","19","C2","Menciona que su falda dorada causa sorpresa.","transp","falda",30,3035,1
"97","A","19","C1","Explica que el tamaño mediano resulta más práctico.","transp","tamaño",31,2874,1
"98","A","19","C2","Dice que su sala limpia recibe más turistas.","transp","sala",32,3341,1
"99","A","19","C3","Declara que el camión antiguo contamina el ambiente.","opaq","camión",33,3329,1
"100","A","24","C4","Dice que la mochila rallada contiene nuestras cosas","transp","mochila",1,14994,1
"101","A","24","C1","Aclara que la escuela pública trae problemas.","transp","escuela",2,2867,1
"102","A","24","C2","Menciona que su bolso morado lidera las ventas.","transp","bolso",3,2930,1
"103","A","24","C4","Anuncia que su cristal roto crea más basura.","opaq","cristal",4,2642,0
"104","A","24","C1","Cree que la cena mala decepciona al padre.","transp","cena",5,2473,1
"105","A","24","C4","Declara que su camión antiguo contamina el ambiente.","opaq","camión",6,3556,0
"106","A","24","C3","Menciona que la nariz dorada causa sorpresa.","opaq","nariz",7,2702,1
"107","A","24","C1","Comenta que la silla rosada mejora la sala.","transp","silla",8,2628,1
"108","A","24","C2","Anuncia que su vaso sucio disgusta al invitado.","transp","vaso",9,3391,1
"109","A","24","C3","Señala que la lección perfecta requiere preparación.","opaq","lección",10,2794,1
"110","A","24","C2","Avisa de que su templo sagrado tiene poderes mágicos.","transp","templo",11,2911,1
"111","A","24","C2","Descubre que su sombrero barato soporta la lluvia.","transp","sombrero",12,3474,1
"112","A","24","C4","Comenta que su sillón blanco demanda mucho cuidado.","opaq","sillón",13,2980,0
"113","A","24","C2","Explica que su tamaño mediano resulta más práctico.","transp","tamaño",14,2777,0
"114","A","24","C3","Piensa que la crisis larga produce insomnio.","opaq","crisis",15,4192,1
"115","A","24","C3","Piensa que la religión estricta molesta al joven.","opaq","religión",16,3393,1
"116","A","24","C4","Dice que su proyector nuevo cuesta mucho dinero.","opaq","proyector",17,3756,0
"117","A","24","C4","Cuenta que su lugar famoso representa su vida.","opaq","lugar",18,2469,1
"118","A","24","C2","Descubre que su teclado bueno vale menos dinero.","transp","teclado",19,2811,1
"119","A","24","C4","Opina que su collar negro cautiva al cliente.","opaq","collar",20,4366,0
"120","A","24","C1","Sostiene que la taberna oscura necesita más luz.","transp","taberna",21,4897,1
"121","A","24","C1","Aclara que la palabra secreta resuelve el misterio.","transp","palabra",22,3281,1
"122","A","24","C1","Opina que la novela trágica divide al pueblo.","transp","novela",23,5621,1
"123","A","24","C3","Dice que la nación limpia recibe más turistas.","opaq","nación",24,3291,1
"124","A","24","C3","Declara que la tradición rara confunde al rey.","opaq","tradición",25,3303,1
"125","A","24","C2","Indica que su mercado pequeño contrata a estudiantes.","transp","mercado",26,2846,1
"126","A","24","C2","Cree que su plato típico lleva demasiados ingredientes.","transp","plato",27,3541,1
"127","A","24","C1","Indica que la revista cómica divierte a todos.","transp","revista",28,2528,1
"128","A","24","C4","Sugiere que su pantalón rojo llama la atención.","opaq","pantalón",29,2736,0
"129","A","24","C4","Demuestra que su maletín caro resiste la lluvia.","opaq","maletín",30,2893,0
"130","A","24","C3","Avisa de que la conexión moderna repara el sistema.","opaq","conexión",31,2795,1
"131","A","24","C3","Manifiesta que la mansión preciosa sorprende al hombre.","opaq","mansión",32,3739,1
"132","A","24","C1","Cuenta que la planta bonita gana el concurso.","transp","planta",33,2811,1
"133","A","27","C4","Dice que la mochila rallada contiene nuestras cosas","transp","mochila",1,5958,0
"134","A","27","C4","Cree que su acción mala decepciona al padre.","opaq","acción",2,2545,1
"135","A","27","C2","Avisa de que su máquina moderna repara el sistema.","transp","máquina",3,2800,1
"136","A","27","C2","Dice que su sala limpia recibe más turistas.","transp","sala",4,3037,1
"137","A","27","C1","Explica que el tamaño mediano resulta más práctico.","transp","tamaño",5,2780,1
"138","A","27","C4","Sostiene que su estación oscura necesita más luz.","opaq","estación",6,2910,0
"139","A","27","C2","Menciona que su falda dorada causa sorpresa.","transp","falda",7,2791,1
"140","A","27","C4","Opina que su situación trágica divide al pueblo.","opaq","situación",8,2992,1
"141","A","27","C1","Anuncia que el vaso sucio disgusta al invitado.","transp","vaso",9,3041,1
"142","A","27","C3","Sugiere que el pantalón rojo llama la atención.","opaq","pantalón",10,2712,1
"143","A","27","C1","Descubre que el sombrero barato soporta la lluvia.","transp","sombrero",11,2896,1
"144","A","27","C2","Piensa que su iglesia estricta molesta al joven.","transp","iglesia",12,2844,0
"145","A","27","C4","Cuenta que su canción bonita gana el concurso.","opaq","canción",13,3009,1
"146","A","27","C1","Indica que el mercado pequeño contrata a estudiantes.","transp","mercado",14,3232,1
"147","A","27","C3","Declara que el camión antiguo contamina el ambiente.","opaq","camión",15,3326,1
"148","A","27","C4","Indica que su reunión cómica divierte a todos.","opaq","reunión",16,2972,1
"149","A","27","C1","Cree que el plato típico lleva demasiados ingredientes.","transp","plato",17,3379,1
"150","A","27","C2","Señala que su fiesta perfecta requiere preparación.","transp","fiesta",18,3541,1
"151","A","27","C4","Aclara que su imagen secreta resuelve el misterio.","opaq","imagen",19,3154,1
"152","A","27","C3","Comenta que el sillón blanco demanda mucho cuidado.","opaq","sillón",20,3555,1
"153","A","27","C3","Opina que el collar negro cautiva al cliente.","opaq","collar",21,2947,1
"154","A","27","C3","Demuestra que el maletín caro resiste la lluvia.","opaq","maletín",22,2927,1
"155","A","27","C3","Cuenta que el lugar famoso representa su vida.","opaq","lugar",23,2761,1
"156","A","27","C4","Aclara que su opinión pública trae problemas.","opaq","opinión",24,2852,1
"157","A","27","C2","Manifiesta que su piedra preciosa sorprende al hombre.","transp","piedra",25,3229,1
"158","A","27","C3","Anuncia que el cristal roto crea más basura.","opaq","cristal",26,3178,1
"159","A","27","C4","Comenta que su pared rosada mejora la sala.","opaq","pared",27,2700,1
"160","A","27","C1","Avisa de que el templo sagrado tiene poderes mágicos.","transp","templo",28,3320,1
"161","A","27","C2","Declara que su lámpara rara confunde al rey.","transp","lámpara",29,2770,1
"162","A","27","C3","Dice que el proyector nuevo cuesta mucho dinero.","opaq","proyector",30,3027,1
"163","A","27","C1","Descubre que el teclado bueno vale menos dinero.","transp","teclado",31,2902,1
"164","A","27","C2","Piensa que su charla larga produce insomnio.","transp","charla",32,2947,1
"165","A","27","C1","Menciona que el bolso morado lidera las ventas.","transp","bolso",33,2870,1
"166","A","29","C4","Dice que la mochila rallada contiene nuestras cosas","transp","mochila",1,5498,1
"167","A","29","C1","Anuncia que el palo roto crea más basura.","transp","palo",2,2512,1
"168","A","29","C3","Indica que el hospital pequeño contrata a estudiantes.","opaq","hospital",3,2948,1
"169","A","29","C1","Opina que el cuero negro cautiva al cliente.","transp","cuero",4,2507,1
"170","A","29","C1","Cuenta que el cuadro famoso representa su vida.","transp","cuadro",5,2427,1
"171","A","29","C4","Piensa que su religión estricta molesta al joven.","opaq","religión",6,2470,0
"172","A","29","C2","Sostiene que su taberna oscura necesita más luz.","transp","taberna",7,2219,1
"173","A","29","C3","Descubre que el borrador bueno vale menos dinero.","opaq","borrador",8,1962,1
"174","A","29","C4","Dice que su nación limpia recibe más turistas.","opaq","nación",9,1854,0
"175","A","29","C4","Señala que su lección perfecta requiere preparación.","opaq","lección",10,3394,0
"176","A","29","C2","Aclara que su escuela púbica trae problemas.","transp","escuea",11,2767,1
"177","A","29","C4","Menciona que su nariz dorada causa sorpresa.","opaq","nariz",12,3195,0
"178","A","29","C1","Comenta que el suelo blanco demanda mucho cuidado.","transp","suelo",13,2819,1
"179","A","29","C3","Avisa de que el metal sagrado tiene poderes mágicos.","opaq","metal",14,3564,1
"180","A","29","C1","Demuestra que el zapato caro resiste la lluvia.","transp","zapato",15,2471,1
"181","A","29","C3","Menciona que el maíz morado lidera las ventas.","opaq","maíz",16,2777,1
"182","A","29","C3","Explica que el cinturón mediano resulta más práctico.","opaq","cinturón",17,2227,1
"183","A","29","C2","Cuenta que su planta bonita gana el concurso.","transp","planta",18,3172,1
"184","A","29","C3","Cree que el pastel típico lleva demasiados ingredientes.","opaq","pastel",19,2990,1
"185","A","29","C4","Piensa que su crisis larga produce insomnio.","opaq","crisis",20,2192,0
"186","A","29","C1","Declara que el carro antiguo contamina el ambiente.","transp","carro",21,2752,0
"187","A","29","C2","Indica que su revista cómica divierte a todos.","transp","revista",22,2903,1
"188","A","29","C2","Cree que su cena mala decepciona al padre.","transp","cena",23,1422,1
"189","A","29","C1","Sugiere que el anillo rojo llama la atención.","transp","anillo",24,2454,1
"190","A","29","C2","Comenta que su silla rosada mejora la sala.","transp","silla",25,2524,1
"191","A","29","C3","Anuncia que el jardín sucio disgusta al invitado.","opaq","jardín",26,3160,1
"192","A","29","C4","Avisa de que su conexión moderna repara el sistema.","opaq","conexión",27,3041,0
"193","A","29","C2","Aclara que su palabra secreta resuelve el misterio.","transp","palabra",28,3013,1
"194","A","29","C4","Declara que su tradición rara confunde al rey.","opaq","tradición",29,3258,0
"195","A","29","C3","Descubre que el paraguas barato soporta la lluvia.","opaq","paraguas",30,3481,0
"196","A","29","C1","Dice que el colegio nuevo cuesta mucho dinero.","transp","colegio",31,2758,1
"197","A","29","C2","Opina que su novela trágica divide al pueblo.","transp","novela",32,3126,1
"198","A","29","C4","Manifiesta que su mansión preciosa sorprende al hombre.","opaq","mansión",33,3294,0
"199","A","3","C4","Dice que la mochila rallada contiene nuestras cosas","transp","mochila",1,6428,1
"200","A","3","C1","Avisa de que el templo sagrado tiene poderes mágicos.","transp","templo",2,3931,1
"201","A","3","C3","Demuestra que el maletín caro resiste la lluvia.","opaq","maletín",3,2172,1
"202","A","3","C3","Sugiere que el pantalón rojo llama la atención.","opaq","pantalón",4,1613,1
"203","A","3","C2","Piensa que su iglesia estricta molesta al joven.","transp","iglesia",5,2036,1
"204","A","3","C2","Avisa de que su máquina moderna repara el sistema.","transp","máquina",6,1729,1
"205","A","3","C1","Indica que el mercado pequeño contrata a estudiantes.","transp","mercado",7,1663,1
"206","A","3","C1","Explica que el tamaño mediano resulta más práctico.","transp","tamaño",8,2141,1
"207","A","3","C3","Dice que el proyector nuevo cuesta mucho dinero.","opaq","proyector",9,1794,1
"208","A","3","C1","Cree que el plato típico lleva demasiados ingredientes.","transp","plato",10,1485,1
"209","A","3","C4","Aclara que su imagen secreta resuelve el misterio.","opaq","imagen",11,2085,1
"210","A","3","C3","Anuncia que el cristal roto crea más basura.","opaq","cristal",12,1910,1
"211","A","3","C4","Sostiene que su estación oscura necesita más luz.","opaq","estación",13,2353,1
"212","A","3","C2","Dice que su sala limpia recibe más turistas.","transp","sala",14,1705,1
"213","A","3","C2","Declara que su lámpara rara confunde al rey.","transp","lámpara",15,1769,1
"214","A","3","C1","Menciona que el bolso morado lidera las ventas.","transp","bolso",16,1747,1
"215","A","3","C4","Comenta que su pared rosada mejora la sala.","opaq","pared",17,1560,1
"216","A","3","C4","Cuenta que su canción bonita gana el concurso.","opaq","canción",18,1685,1
"217","A","3","C3","Declara que el camión antiguo contamina el ambiente.","opaq","camión",19,2529,1
"218","A","3","C3","Opina que el collar negro cautiva al cliente.","opaq","collar",20,1615,1
"219","A","3","C2","Piensa que su charla larga produce insomnio.","transp","charla",21,1455,1
"220","A","3","C4","Opina que su situación trágica divide al pueblo.","opaq","situación",22,2420,1
"221","A","3","C2","Señala que su fiesta perfecta requiere preparación.","transp","fiesta",23,1967,1
"222","A","3","C4","Cree que su acción mala decepciona al padre.","opaq","acción",24,2604,1
"223","A","3","C4","Indica que su reunión cómica divierte a todos.","opaq","reunión",25,3064,1
"224","A","3","C4","Aclara que su opinión pública trae problemas.","opaq","opinión",26,1731,1
"225","A","3","C1","Anuncia que el vaso sucio disgusta al invitado.","transp","vaso",27,1868,1
"226","A","3","C3","Cuenta que el lugar famoso representa su vida.","opaq","lugar",28,1855,0
"227","A","3","C2","Manifiesta que su piedra preciosa sorprende al hombre.","transp","piedra",29,2299,1
"228","A","3","C1","Descubre que el sombrero barato soporta la lluvia.","transp","sombrero",30,1538,1
"229","A","3","C1","Descubre que el teclado bueno vale menos dinero.","transp","teclado",31,1876,1
"230","A","3","C2","Menciona que su falda dorada causa sorpresa.","transp","falda",32,1933,1
"231","A","3","C3","Comenta que el sillón blanco demanda mucho cuidado.","opaq","sillón",33,1430,1
"232","A","31","C4","Dice que la mochila rallada contiene nuestras cosas","transp","mochila",1,6502,1
"233","A","31","C2","Avisa de que su máquina moderna repara el sistema.","transp","máquina",2,2538,1
"234","A","31","C1","Indica que el mercado pequeño contrata a estudiantes.","transp","mercado",3,3423,1
"235","A","31","C1","Descubre que el sombrero barato soporta la lluvia.","transp","sombrero",4,2564,1
"236","A","31","C3","Cuenta que el lugar famoso representa su vida.","opaq","lugar",5,2360,0
"237","A","31","C4","Aclara que su imagen secreta resuelve el misterio.","opaq","imagen",6,2123,0
"238","A","31","C3","Anuncia que el cristal roto crea más basura.","opaq","cristal",7,2496,1
"239","A","31","C1","Cree que el plato típico lleva demasiados ingredientes.","transp","plato",8,2584,1
"240","A","31","C4","Cuenta que su canción bonita gana el concurso.","opaq","canción",9,3164,0
"241","A","31","C4","Cree que su acción mala decepciona al padre.","opaq","acción",10,2813,0
"242","A","31","C4","Comenta que su pared rosada mejora la sala.","opaq","pared",11,3155,0
"243","A","31","C1","Descubre que el teclado bueno vale menos dinero.","transp","teclado",12,3584,1
"244","A","31","C3","Comenta que el sillón blanco demanda mucho cuidado.","opaq","sillón",13,3918,1
"245","A","31","C3","Dice que el proyector nuevo cuesta mucho dinero.","opaq","proyector",14,3341,1
"246","A","31","C1","Avisa de que el templo sagrado tiene poderes mágicos.","transp","templo",15,3948,1
"247","A","31","C1","Menciona que el bolso morado lidera las ventas.","transp","bolso",16,3723,1
"248","A","31","C2","Piensa que su charla larga produce insomnio.","transp","charla",17,3302,1
"249","A","31","C2","Menciona que su falda dorada causa sorpresa.","transp","falda",18,4251,1
"250","A","31","C4","Sostiene que su estación oscura necesita más luz.","opaq","estación",19,3514,0
"251","A","31","C2","Declara que su lámpara rara confunde al rey.","transp","lámpara",20,3526,1
"252","A","31","C2","Manifiesta que su piedra preciosa sorprende al hombre.","transp","piedra",21,4483,1
"253","A","31","C2","Piensa que su iglesia estricta molesta al joven.","transp","iglesia",22,3271,1
"254","A","31","C3","Declara que el camión antiguo contamina el ambiente.","opaq","camión",23,3586,1
"255","A","31","C1","Anuncia que el vaso sucio disgusta al invitado.","transp","vaso",24,4610,1
"256","A","31","C2","Señala que su fiesta perfecta requiere preparación.","transp","fiesta",25,4019,1
"257","A","31","C2","Dice que su sala limpia recibe más turistas.","transp","sala",26,3113,1
"258","A","31","C4","Opina que su situación trágica divide al pueblo.","opaq","situación",27,3007,0
"259","A","31","C4","Aclara que su opinión pública trae problemas.","opaq","opinión",28,3837,0
"260","A","31","C3","Opina que el collar negro cautiva al cliente.","opaq","collar",29,3137,1
"261","A","31","C3","Sugiere que el pantalón rojo llama la atención.","opaq","pantalón",30,2885,1
"262","A","31","C1","Explica que el tamaño mediano resulta más práctico.","transp","tamaño",31,2666,1
"263","A","31","C4","Indica que su reunión cómica divierte a todos.","opaq","reunión",32,2773,1
"264","A","31","C3","Demuestra que el maletín caro resiste la lluvia.","opaq","maletín",33,2760,1
"265","A","34","C4","Dice que la mochila rallada contiene nuestras cosas","transp","mochila",1,5916,1
"266","A","34","C1","Señala que la fiesta perfecta requiere preparación.","transp","fiesta",2,3075,1
"267","A","34","C1","Dice que la sala limpia recibe más turistas.","transp","sala",3,1527,1
"268","A","34","C4","Cree que su pastel típico lleva demasiados ingredientes.","opaq","pastel",4,3261,1
"269","A","34","C4","Explica que su cinturón mediano resulta más práctico.","opaq","cinturón",5,3051,1
"270","A","34","C3","Cuenta que la canción bonita gana el concurso.","opaq","canción",6,3027,1
"271","A","34","C2","Demuestra que su zapato caro resiste la lluvia.","transp","zapato",7,3231,1
"272","A","34","C4","Descubre que su paraguas barato soporta la lluvia.","opaq","paraguas",8,2720,1
"273","A","34","C2","Comenta que su suelo blanco demanda mucho cuidado.","transp","suelo",9,2790,1
"274","A","34","C2","Opina que su cuero negro cautiva al cliente.","transp","cuero",10,2637,1
"275","A","34","C3","Aclara que la opinión pública trae problemas.","opaq","opinión",11,2644,1
"276","A","34","C4","Anuncia que su jardín sucio disgusta al invitado.","opaq","jardín",12,3166,1
"277","A","34","C2","Anuncia que su palo roto crea más basura.","transp","palo",13,2521,1
"278","A","34","C2","Cuenta que su cuadro famoso representa su vida.","transp","cuadro",14,2616,0
"279","A","34","C2","Declara que su carro antiguo contamina el ambiente.","transp","carro",15,2801,1
"280","A","34","C1","Avisa de que la máquina moderna repara el sistema.","transp","máquina",16,2550,1
"281","A","34","C3","Sostiene que la estación oscura necesita más luz.","opaq","estación",17,2887,1
"282","A","34","C4","Menciona que su maíz morado lidera las ventas.","opaq","maíz",18,2466,1
"283","A","34","C1","Declara que la lámpara rara confunde al rey.","transp","lámpara",19,2402,1
"284","A","34","C1","Piensa que la iglesia estricta molesta al joven.","transp","iglesia",20,2471,1
"285","A","34","C3","Indica que la reunión cómica divierte a todos.","opaq","reunión",21,2692,1
"286","A","34","C3","Cree que la acción mala decepciona al padre.","opaq","acción",22,2542,1
"287","A","34","C1","Manifiesta que la piedra preciosa sorprende al hombre.","transp","piedra",23,3010,1
"288","A","34","C2","Sugiere que su anillo rojo llama la atención.","transp","anillo",24,2725,1
"289","A","34","C4","Avisa de que su metal sagrado tiene poderes mágicos.","opaq","metal",25,3066,1
"290","A","34","C3","Opina que la situación trágica divide al pueblo.","opaq","situación",26,3046,1
"291","A","34","C3","Comenta que la pared rosada mejora la sala.","opaq","pared",27,2414,1
"292","A","34","C3","Aclara que la imagen secreta resuelve el misterio.","opaq","imagen",28,2638,1
"293","A","34","C4","Descubre que su borrador bueno vale menos dinero.","opaq","borrador",29,2711,1
"294","A","34","C1","Menciona que la falda dorada causa sorpresa.","transp","falda",30,2451,1
"295","A","34","C4","Indica que su hospital pequeño contrata a estudiantes.","opaq","hospital",31,3367,1
"296","A","34","C2","Dice que su colegio nuevo cuesta mucho dinero.","transp","colegio",32,2853,1
"297","A","34","C1","Piensa que la charla larga produce insomnio.","transp","charla",33,2337,1
"298","A","4","C4","Dice que la mochila rallada contiene nuestras cosas","transp","mochila",1,10873,1
"299","A","4","C2","Descubre que su teclado bueno vale menos dinero.","transp","teclado",2,3135,1
"300","A","4","C4","Anuncia que su cristal roto crea más basura.","opaq","cristal",3,2939,1
"301","A","4","C2","Cree que su plato típico lleva demasiados ingredientes.","transp","plato",4,3627,1
"302","A","4","C2","Descubre que su sombrero barato soporta la lluvia.","transp","sombrero",5,3045,1
"303","A","4","C2","Explica que su tamaño mediano resulta más práctico.","transp","tamaño",6,3005,1
"304","A","4","C2","Anuncia que su vaso sucio disgusta al invitado.","transp","vaso",7,3543,0
"305","A","4","C2","Avisa de que su templo sagrado tiene poderes mágicos.","transp","templo",8,2984,1
"306","A","4","C3","Señala que la lección perfecta requiere preparación.","opaq","lección",9,3168,1
"307","A","4","C1","Cuenta que la planta bonita gana el concurso.","transp","planta",10,2697,1
"308","A","4","C1","Opina que la novela trágica divide al pueblo.","transp","novela",11,2651,1
